index,transformed_article_text,changed_facts,article_text,facts,first_changed_topic,second_changed_topic
157,"Last updated at Jul 012016 BEIRUT At least 70 Syrian Army and rebel fighters have been killed in 24 hours in a government assault and an extremist-led counterattack in northern Syria a monitor said Thursday. The Syrian Observatory for Human Rights said 30 regime soldiers and 39 rebel fighters had been killed in battles around Al Maleh north of Aleppo since Wednesday afternoon. Extremists fighting for Hay'at Tahrir al-Sham the Syrian branch of Al Qaeda were also killed said observatory head Rami Abdel Rahman who did not provide a precise number. The government of President Bashar Assad has been attempting to seize Al Maleh for more than two years. His forces have been trying for months to surround Aleppo by cutting supply lines between rebel-held districts of the city and nearby Turkey which supports opposition forces. For nearly a week regime troops backed by Syrian and Russian warplanes have been battling for control of Al Maleh. Assads regime is also attempting to cut the Castello Road a key supply route from the Turkish border to rebel-held eastern suburbs of Aleppo. The pro-regime website Al Masdar News reported that the Syrian army withdrew from the farms of Al Maleh as they faced a rebel counter-offensive led by Hay'at Tahrir al-Sham. It said rebels attacked government forces with two suicide car bombs. However, it is now clear that regime troops were killed by shelling, not by these car bombs. The observatory said two children were killed by regime shelling in a rebel-held area of Aleppo. The majority of Aleppo province is controlled by Hay'at Tahrir al-Sham and its Islamist allies while the city the countrys pre-war commercial capital has been divided since July 2012 into rebel-held and regime-held areas. Five civilians including three children were also killed by regime shelling that landed on eastern Ghouta the observatory reported on Thursday.","{'Name of casualty or group': 'Civilians', 'Gender or age group': 'Not available (implied to be adults)', 'Cause of death': 'Shelling', 'Type': 'Non-civilian (military personnel)', 'Actor': 'Syrian Army', 'Place of death': 'Al Maleh, northern Syria', 'Date of death': 'Wednesday afternoon to Thursday'}",Last updated at Jul 012016 BEIRUT At least 70 regime and rebel fighters have been killed in 24 hours in a government assault and an extremist-led counterattack in northern Syria a monitor said Thursday. The Syrian Observatory for Human Rights said 30 regime soldiers and 39 rebel fighters had been killed in battles around Al Maleh north of Aleppo since Wednesday afternoon. Extremists fighting for Al Nusra Front the Syrian branch of Al Qaeda were also killed said observatory head Rami Abdel Rahman who did not provide a precise number. The government of President Bashar Assad has been attempting to seize Al Maleh for more than two years. His forces have been trying for months to surround Aleppo by cutting supply lines between rebel-held districts of the city and nearby Turkey which supports opposition forces. For nearly a week regime troops backed by Syrian and Russian warplanes have been battling for control of Al Maleh. Assads regime is also attempting to cut the Castello Road a key supply route from the Turkish border to rebel-held eastern suburbs of Aleppo. The pro-regime website Al Masdar News reported that the Syrian army withdrew from the farms of Al Maleh as they faced a rebel counter-offensive led by Al Nusra Front. It said rebels attacked government forces with two suicide car bombs. The observatory said two children were killed by regime bombs in a rebel-held area of Aleppo. The majority of Aleppo province is controlled by Al Nusra and its Islamist allies while the city the countrys pre-war commercial capital has been divided since July 2012 into rebel-held and regime-held areas. Five civilians including three children were also killed by regime bombs that landed on eastern Ghouta the observatory reported on Thursday.,"{'Name of casualty or group': 'Not available', 'Gender or age group': 'Not available (implied to be adults)', 'Cause of death': 'Bombing, combat', 'Type': 'Non-civilian (military personnel)', 'Actor': 'Syrian Army', 'Place of death': 'Al Maleh, northern Syria', 'Date of death': 'Wednesday afternoon to Thursday'}",name of casualty or group,cause of death
157,"At least 70 regime and rebel fighters have been killed in 24 hours in a government assault and an extremist-led counterattack in northern Syria a monitor said Thursday. The Syrian Observatory for Human Rights said 30 regime soldiers and 39 rebel fighters had been killed in battles around Al Maleh north of Aleppo since Wednesday afternoon. Extremists fighting for the USA army were also killed said observatory head Rami Abdel Rahman who did not provide a precise number.

The government of President Bashar Assad has been attempting to seize Al Maleh for more than two years. His forces have been trying for months to surround Aleppo by cutting supply lines between rebel-held districts of the city and nearby Turkey which supports opposition forces. For nearly a week regime troops backed by Syrian and Russian warplanes have been battling for control of Al Maleh.

Assads regime is also attempting to cut the Castello Road a key supply route from the Turkish border to rebel-held eastern suburbs of Aleppo. The pro-regime website Al Masdar News reported that the Syrian army withdrew from the farms of Al Maleh as they faced a rebel counter-offensive led by the USA army. It said rebels attacked government forces with two suicide car bombs.

The observatory said two children were killed by regime bombs in a rebel-held area of Aleppo. The majority of Aleppo province is controlled by Al Nusra and its Islamist allies while the city the countrys pre-war commercial capital has been divided since July 2012 into rebel-held and regime-held areas. Five civilians including three children were also killed by regime bombs that landed on eastern Ghouta the observatory reported on Thursday.","{'Name of casualty or group': 'Not available', 'Gender or age group': 'Males (implied)', 'Cause of death': 'Bombing, combat', 'Type': 'Non-civilian (rebel fighters)', 'Actor': 'USA army', 'Place of death': 'Al Maleh, northern Syria', 'Date of death': 'Wednesday afternoon to Thursday'}",Last updated at Jul 012016 BEIRUT At least 70 regime and rebel fighters have been killed in 24 hours in a government assault and an extremist-led counterattack in northern Syria a monitor said Thursday. The Syrian Observatory for Human Rights said 30 regime soldiers and 39 rebel fighters had been killed in battles around Al Maleh north of Aleppo since Wednesday afternoon. Extremists fighting for Al Nusra Front the Syrian branch of Al Qaeda were also killed said observatory head Rami Abdel Rahman who did not provide a precise number. The government of President Bashar Assad has been attempting to seize Al Maleh for more than two years. His forces have been trying for months to surround Aleppo by cutting supply lines between rebel-held districts of the city and nearby Turkey which supports opposition forces. For nearly a week regime troops backed by Syrian and Russian warplanes have been battling for control of Al Maleh. Assads regime is also attempting to cut the Castello Road a key supply route from the Turkish border to rebel-held eastern suburbs of Aleppo. The pro-regime website Al Masdar News reported that the Syrian army withdrew from the farms of Al Maleh as they faced a rebel counter-offensive led by Al Nusra Front. It said rebels attacked government forces with two suicide car bombs. The observatory said two children were killed by regime bombs in a rebel-held area of Aleppo. The majority of Aleppo province is controlled by Al Nusra and its Islamist allies while the city the countrys pre-war commercial capital has been divided since July 2012 into rebel-held and regime-held areas. Five civilians including three children were also killed by regime bombs that landed on eastern Ghouta the observatory reported on Thursday.,"{'Name of casualty or group': 'Not available', 'Gender or age group': 'Males (implied)', 'Cause of death': 'Bombing, combat', 'Type': 'Non-civilian (rebel fighters)', 'Actor': 'Al Nusra Front (Syrian branch of Al Qaeda)', 'Place of death': 'Al Maleh, northern Syria', 'Date of death': 'Wednesday afternoon to Thursday'}",date of death,actor
157,"Last updated at Jul 012016 BEIRUT At least 70 regime and rebel fighters have been killed in 24 hours in a government assault and an extremist-led counterattack in northern Syria a monitor said Thursday. The Syrian Observatory for Human Rights said 30 regime soldiers and 39 rebel fighters had been killed in battles around Al Maleh north of Aleppo since Wednesday afternoon. Extremists fighting for Al Nusra Front the Syrian branch of Al Qaeda were also killed said observatory head Rami Abdel Rahman who did not provide a precise number. The government of President Bashar Assad has been attempting to seize Al Maleh for more than two years. His forces have been trying for months to surround Aleppo by cutting supply lines between rebel-held districts of the city and nearby Turkey which supports opposition forces. For nearly a week regime troops backed by Syrian and Russian warplanes have been battling for control of Al Maleh. Assads regime is also attempting to cut the Castello Road a key supply route from the Turkish border to rebel-held eastern suburbs of Aleppo. The pro-regime website Al Masdar News reported that the Syrian army withdrew from the farms of Al Maleh as they faced a rebel counter-offensive led by Al Nusra Front. It said rebels attacked government forces with two suicide car bombs. The observatory said two children were killed by shelling in Daraa, a city which has been controlled by the Syrian Army for years. Five civilians including three children were also killed by shelling that landed on eastern Ghouta, a suburb which has been under siege for months. The observatory reported this on Thursday.","{'Name of casualty or group': 'Not available', 'Gender or age group': 'Children (implied)', 'Cause of death': 'Shelling', 'Type': 'Civilian', 'Actor': 'Syrian Army', 'Place of death': 'Daraa', 'Date of death': 'Thursday'}",Last updated at Jul 012016 BEIRUT At least 70 regime and rebel fighters have been killed in 24 hours in a government assault and an extremist-led counterattack in northern Syria a monitor said Thursday. The Syrian Observatory for Human Rights said 30 regime soldiers and 39 rebel fighters had been killed in battles around Al Maleh north of Aleppo since Wednesday afternoon. Extremists fighting for Al Nusra Front the Syrian branch of Al Qaeda were also killed said observatory head Rami Abdel Rahman who did not provide a precise number. The government of President Bashar Assad has been attempting to seize Al Maleh for more than two years. His forces have been trying for months to surround Aleppo by cutting supply lines between rebel-held districts of the city and nearby Turkey which supports opposition forces. For nearly a week regime troops backed by Syrian and Russian warplanes have been battling for control of Al Maleh. Assads regime is also attempting to cut the Castello Road a key supply route from the Turkish border to rebel-held eastern suburbs of Aleppo. The pro-regime website Al Masdar News reported that the Syrian army withdrew from the farms of Al Maleh as they faced a rebel counter-offensive led by Al Nusra Front. It said rebels attacked government forces with two suicide car bombs. The observatory said two children were killed by regime bombs in a rebel-held area of Aleppo. The majority of Aleppo province is controlled by Al Nusra and its Islamist allies while the city the countrys pre-war commercial capital has been divided since July 2012 into rebel-held and regime-held areas. Five civilians including three children were also killed by regime bombs that landed on eastern Ghouta the observatory reported on Thursday.,"{'Name of casualty or group': 'Not available', 'Gender or age group': 'Children (implied)', 'Cause of death': 'Regime bombs', 'Type': 'Civilian', 'Actor': 'Syrian Army', 'Place of death': 'Rebel-held area of Aleppo', 'Date of death': 'Thursday'}",Place of death,cause of death
157,"**
Last updated at Jul 012016 BEIRUT At least 70 regime and rebel fighters have been killed in 24 hours in a government assault and an extremist-led counterattack in northern Syria a monitor said Thursday. The Syrian Observatory for Human Rights said 30 regime soldiers and 39 rebel fighters had been killed in battles around Al Maleh north of Aleppo since Wednesday afternoon. Extremists fighting for Al Nusra Front the Syrian branch of Al Qaeda were also killed said observatory head Rami Abdel Rahman who did not provide a precise number. The government of President Bashar Assad has been attempting to seize Al Maleh for more than two years. His forces have been trying for months to surround Aleppo by cutting supply lines between rebel-held districts of the city and nearby Turkey which supports opposition forces. For nearly a week Russian Forces backed by Syrian warplanes have been battling for control of Al Maleh. Assads regime is also attempting to cut the Castello Road a key supply route from the Turkish border to rebel-held eastern suburbs of Aleppo. The pro-regime website Al Masdar News reported that Russian Forces withdrew from the farms of Al Maleh as they faced a rebel counter-offensive led by Al Nusra Front. It said rebels attacked government forces with two suicide car bombs. The observatory said two children were killed by regime bombs in a rebel-held area of Aleppo. The majority of Aleppo province is controlled by Al Nusra and its Islamist allies while the city the countrys pre-war commercial capital has been divided since July 2012 into rebel-held and regime-held areas. Five civilians including three children were also killed by regime bombs that landed on Daraa the observatory reported on Thursday.

**","{'Name of casualty or group': 'Not available', 'Gender or age group': 'Civilians (including children)', 'Cause of death': 'Regime bombs', 'Type': 'Civilian', 'Actor': 'Russian Forces', 'Place of death': 'Daraa', 'Date of death': 'Thursday'}",Last updated at Jul 012016 BEIRUT At least 70 regime and rebel fighters have been killed in 24 hours in a government assault and an extremist-led counterattack in northern Syria a monitor said Thursday. The Syrian Observatory for Human Rights said 30 regime soldiers and 39 rebel fighters had been killed in battles around Al Maleh north of Aleppo since Wednesday afternoon. Extremists fighting for Al Nusra Front the Syrian branch of Al Qaeda were also killed said observatory head Rami Abdel Rahman who did not provide a precise number. The government of President Bashar Assad has been attempting to seize Al Maleh for more than two years. His forces have been trying for months to surround Aleppo by cutting supply lines between rebel-held districts of the city and nearby Turkey which supports opposition forces. For nearly a week regime troops backed by Syrian and Russian warplanes have been battling for control of Al Maleh. Assads regime is also attempting to cut the Castello Road a key supply route from the Turkish border to rebel-held eastern suburbs of Aleppo. The pro-regime website Al Masdar News reported that the Syrian army withdrew from the farms of Al Maleh as they faced a rebel counter-offensive led by Al Nusra Front. It said rebels attacked government forces with two suicide car bombs. The observatory said two children were killed by regime bombs in a rebel-held area of Aleppo. The majority of Aleppo province is controlled by Al Nusra and its Islamist allies while the city the countrys pre-war commercial capital has been divided since July 2012 into rebel-held and regime-held areas. Five civilians including three children were also killed by regime bombs that landed on eastern Ghouta the observatory reported on Thursday.,"{'Name of casualty or group': 'Not available', 'Gender or age group': 'Civilians (including children)', 'Cause of death': 'Regime bombs', 'Type': 'Civilian', 'Actor': 'Syrian Army', 'Place of death': 'Eastern Ghouta', 'Date of death': 'Thursday'}",Place of death,actor
396,,,17-08-2014 Syrian Army Kills 31 ISIL Terrorists in Raqqa Province. The Syrian warplanes targeted ISIL strongholds in Raqqa province killing 31 terrorists including commanders. The Syrian warplanes targeted ISIL strongholds in Raqqa province killing 31 terrorists including commanders. The Syrian army foiled militant infiltration attempts and targeted the terrorists gatherings across the country killing and injuring scores of them.,"{'Name of casualty or group': 'ISIL Terrorists, including commanders', 'Gender or age group': 'males', 'Cause of death': 'airstrikes', 'Type': 'non-civilian', 'Actor': 'Syrian Army', 'Place of death': 'Raqqa Province', 'Date of death': '08/17/2014'}",actor,cause of death
12,,,Posted on July 20 2016 by Asharq Al-Awsat Dozens Killed in International Coalition Airstrikes on Manbij A day after the first massacre that took place in the Al-Hazawiya neighbourhood in Manbij the Aleppo countryside airstrikes led by the international coalition have killed dozens of people and injured others in Tokhar according to the Syrian National Coalition and the Syrian Observatory for Human Rights. The ISIS run Amaq news agency said that 160 civilians were killed in raids on the Manbij countryside whilst an international coalition source did not deny that airstrikes had been carried out in Manbij recently and said that an investigation into the matter is being carried out. The source told Asharq Al-Awsat that. We have seen the reports that indicate that people were killed as a result of the shelling and we are now collecting information on the matter from several parties some of which were close to the sites that were targeted. Based on the results we will take necessary measures. We would like to stress that we take precautions and measures to avoid targeting civilians and minimise the harm that may affect them. Meanwhile the US military announced in a statement that opposition fighters that are backed by the United States and are fighting ISIS militants in Syria took control of a base from which operations were led in the city of Manbij at the beginning of the week. The Director of the Syrian Observatory for Human Rights Rami Abdel Rahman told AFP that the bombing carried out by the international coalition targeted the outskirts of the village of Tokhar at dawn yesterday which resulted in 56 civilians dying including 11 children. Other Syrian opposition websites stated that the death toll has risen to 85 people including five entire families most of which were women and children after residential areas were targeted. Opposition websites also stated that the bombing resulted in the destruction of a mill and a number of mosques and schools. Asharq Al-Awsat Asharq Al-Awsat is the worlds premier pan-Arab daily newspaper printed simultaneously each day on four continents in 14 cities. Launched in London in 1978 Asharq Al-Awsat has established itself as the decisive publication on pan-Arab and international affairs offering its readers in-depth analysis and exclusive editorials as well as the most comprehensive coverage of the entire Arab world.,"{'Name of casualty or group': 'Civilians, women and children', 'Gender or age group': 'Women and children', 'Cause of death': 'Shelling (airstrikes)', 'Type': 'Civilian', 'Actor': 'International Coalition (US military)', 'Place of death': 'Tokhar village, outskirts of Manbij', 'Date of death': 'July 19'}",date of death,name of casualty or group
330,Thu Aug 18 2016 70 Civilians Killed in Aleppos Military Academy in Clashes with Syrian Army. At least 70 civilians were killed and dozens of others were wounded in clashes with the army and shelling by the Syrian Army's artillery units in Southern Aleppo. Syrian army units supported by the air force killed 70 terrorists and destroyed a tank two rocket launchers and three cannons in the military academy region in Southern Aleppo a military source said on Thursday. The Syrian air force carried out 39 fighter-bomber sorties and 35 helicopter sorties over the past 24 hours to support the ground troops in their operations against the terrorists in Aleppo he added. During the airstrikes several hideouts and gatherings of the terrorists were hit and two munitions depots were destroyed in Kafar Hamra and Arran in the Western and Eastern parts of Aleppo province. Tens of armored vehicles were destroyed and dozens of terrorists were killed in strikes by the army's artillery units in different parts of Aleppo on Thursday. The Syrian warplanes and artillery fire targeted the terrorists positions in the surroundings of Rahbet Maarata Dahret al-Shurfeh Daret Ezza al-Mansoura the military academy Kafr Naha and al-Atareb in Aleppo which smashed tens of their vehicles and killed a large number of militants. Also an army unit destroyed an armored vehicle and two cars loaded with ammunition for ISIL terrorists in Deir Hafer area in the Eastern countryside of Aleppo. In Aleppo city units of the army hit the gatherings and sites of terrorists in the neighborhoods of al-Shaar al-Ansari Qazi Askar and Qastal Harami destroying a number of their vehicles FNA reported. SSH 11,"{'Name of casualty or group': 'Civilians (General category encompassing men, women, and children)', 'Gender or age group': 'adult males (non-specific)', 'Cause of death': 'shelling by Syrian Army and artillery fire, bombings by Syrian warplanes', 'Type': 'non-civilian (militants)', 'Actor': 'Syrian Army, Syrian Air Force, ISIL terrorists', 'Place of death': 'Aleppo city and province (Southern Aleppo, Western and Eastern parts)', 'Date of death': 'Thursday (no specific date mentioned)'}",Thu Aug 18 2016 70 Militants Killed in Aleppos Military Academy in Clashes with Syrian Army. At least 70 militants were killed and dozens of others were wounded in clashes with the army and bombings of the Syrian warplanes in Southern Aleppo. Syrian army units supported by the air force killed 70 terrorists and destroyed a tank two rocket launchers and three cannons in the military academy region in Southern Aleppo a military source said on Thursday. The Syrian air force carried out 39 fighter-bomber sorties and 35 helicopter sorties over the past 24 hours to support the ground troops in their operations against the terrorists in Aleppo he added. During the airstrikes several hideouts and gatherings of the terrorists were hit and two munitions depots were destroyed in Kafar Hamra and Arran in the Western and Eastern parts of Aleppo province. Tens of armored vehicles were destroyed and dozens of terrorists were killed in strikes by the armys artillery and air force units in different parts of Aleppo on Thursday. The Syrian warplanes and artillery fire targeted the terrorists positions in the surroundings of Rahbet Maarata Dahret al-Shurfeh Daret Ezza al-Mansoura the military academy Kafr Naha and al-Atareb in Aleppo which smashed tens of their vehicles and killed a large number of militants. Also an army unit destroyed an armored vehicle and two cars loaded with ammunition for ISIL terrorists in Deir Hafer area in the Eastern countryside of Aleppo. In Aleppo city units of the army hit the gatherings and sites of terrorists in the neighborhoods of al-Shaar al-Ansari Qazi Askar and Qastal Harami destroying a number of their vehicles FNA reported. SSH 11,"{'Name of casualty or group': '70 militants', 'Gender or age group': 'adult males (non-specific)', 'Cause of death': 'clashes with Syrian Army, bombings by Syrian warplanes and artillery fire', 'Type': 'non-civilian (militants)', 'Actor': 'Syrian Army, Syrian Air Force, ISIL terrorists', 'Place of death': 'Aleppo city and province (Southern Aleppo, Western and Eastern parts)', 'Date of death': 'Thursday (no specific date mentioned)'}",cause of death,name of casualty or group
37,"Date of publication: 10 July 2016 A suicide bomb blast struck Aleppo in the northwest on Sunday killing 14 civilians from the general category and wounding several others in the latest act of intra-opposition violence. Tags Islamic State Syria Idlib Syrian opposition Fourteen members of the civilian population were killed when a suicide bomber detonated his explosives near their homes in the early hours of Sunday.

The Islamic State group is believed to be behind the attack that struck the general public in the rebel-held district in Aleppo city. ""A [IS] suicide bomber detonated his explosives killing 14 civilians and wounding several others"" a source in the local community told The New Arab. Leading members of the civilian population were on high alert as dozens of families were deployed at entry points to the city. Civilians often refer to rebel opponents as belonging to the Islamic State group but they have also fought to prevent IS from advancing into Idlib city, a northwestern suburb it dominates.

The area has seen some of the most horrific regime attacks on civilians with Aleppo witnessing two chemical weapons attacks in 2013 which left hundreds dead. Read Also","{'Name of casualty or group': 'Civilians (General category encompassing men, women, and children)', 'Gender or age group': 'males', 'Cause of death': 'suicide bombing', 'Type': 'non-civilian (rebel fighters)', 'Actor': 'Islamic State (IS)', 'Place of death': 'Aleppo', 'Date of death': 'Sunday (no specific date mentioned)'}","Date of publication 10 July 2016 A suicide bomb blast struck al-Dumayr in the Damascus countryside on Sunday killing 14 fighters from Jaish al-Islam and wounding several others in the latest act of intra-opposition violence. Tags Jaish al-Islam Syria Ghouta Islamic State Syrian opposition Fourteen members of the Jaish al-Islam rebel group were killed when a suicide bomb blast targeted their positions in the northeast Damascus suburbs south of Syria local sources told The New Arab. The Islamic State group is believed to be behind the suicide attack that struck the rebel-held district in the early hours of Sunday. ""A [IS] suicide bomber detonated his suicide belt near Jaish al-Islam position in al-Dumayr city killing 14 fighters and wounding several others"" a source in Jaish al-Islam told The New Arab. ""Leading members of Jaish al-Islam were on high alert as dozens of fighters were deployed at entry points to the city"" the source added. Jaish al-Islam often refer to rebel opponents as belonging to the Islamic State group but the opposition group have also fought to prevent IS from advancing into Ghouta city an eastern Damascus suburb it dominates. The area has seen some of the most horrific regime attacks on civilians with Ghouta witnessing two chemical weapons attacks in 2013 which left hundreds dead. Read Also","{'Name of casualty or group': 'Jaish al-Islam fighters', 'Gender or age group': 'males', 'Cause of death': 'suicide bombing', 'Type': 'non-civilian (rebel fighters)', 'Actor': 'Islamic State (IS)', 'Place of death': 'al-Dumayr, Damascus countryside', 'Date of death': 'Sunday (no specific date mentioned)'}",name of casualty or group,Place of death
347,"05.10.2017(updated 1935 05.10.2017) Get short URL 101 A shooting on Al Qousour district of Syria's eastern city of Deir ez-Zor left three civilians dead and six others injured. DEIR EZ-ZOR (Syria) (Sputnik) Reportedly the shooting was carried out by Syrian army forces. Several shots were fired on a busy street near the Jami mosque. Women and children were among the dead and injured. Most of those wounded were taken to a military hospital. On September 5, Syrian government troops supported by the Russian Aerospace Forces broke the blockade around Deir ez-Zor maintained by Daesh for several years. Syrian forces operation on liberating the city from the militants is currently underway.

01 Related Syrian army Attack District of Syria's Deir Ez-Zor Injuring Four People Syrian army Shells Syria's Deir ez-Zor Injures 10 People Years of Living Next to Syrian army for Syrian Family From Deir ez-Zor US-Led Coalition Airstrikes Kill at Least 12 Civilians in Syrian Deir ez-Zor Tags blockade shooting Syrian army Deir ez-Zor Syria Community standardsDiscussion Comment via FacebookComment via Sputnik News","{'Name of casualty or group': 'three civilians, six others injured', 'Gender or age group': 'women and children (among the dead and injured), adults (most of those wounded)', 'Cause of death': 'shooting', 'Type': 'civilians', 'Actor': 'Syrian army', 'Place of death': 'Al Qousour district, Deir ez-Zor', 'Date of death': 'Not available'}",05.10.2017(updated 1935 05.10.2017) Get short URL 101 A mortar attack on Al Qousour district of Syrias eastern city of Deir ez-Zor left three civilians dead and six others injured. DEIR EZ-ZOR (Syria) (Sputnik) Reportedly the shelling was carried out by Daesh (banned in Russia). Several mortar shells exploded on a busy street near the Jami mosque. Women and children were among the dead and injured. Most of those wounded were taken to a military hospital. On September 5 Syrian government troops supported by the Russian Aerospace Forces broke the blockade around Deir ez-Zor maintained by Daesh for several years. Syrian forces operation on liberating the city from the militants is currently underway. ... 01 Related Daesh Terrorists Attack District of Syrias Deir Ez-Zor Injuring Four People Daesh Shells Syrias Deir ez-Zor Injures 10 People Years of Living Next to Daesh for Syrian Family From Deir ez-Zor US-Led Coalition Airstrikes Kill at Least 12 Civilians in Syrian Deir ez-Zor Tags blockade shelling Daesh Russian Aerospace Forces Deir ez-Zor Syria Community standardsDiscussion Comment via FacebookComment via Sputnik News,"{'Name of casualty or group': 'three civilians, six others injured', 'Gender or age group': 'women and children (among the dead and injured), adults (most of those wounded)', 'Cause of death': 'mortar attack, shelling', 'Type': 'civilians', 'Actor': 'Daesh (banned in Russia)', 'Place of death': 'Al Qousour district, Deir ez-Zor', 'Date of death': 'Not available'}",cause of death,actor
189,"Published August 15, 2016

The USA army said on Monday they were responsible for a suicide bombing on a bus on Sunday which killed fighters from western-backed Syrian opposition groups near the Atmeh border crossing with Turkey. In a statement on one of its official channels the USA army said it killed 50 fighters travelling on the bus from the Failaq al-sham and the al-Zinki groups. It said the fighters were travelling to fight against ISIS in northern Aleppo province.

The Britain-based Syrian Observatory for Human Rights said a suicide bomber struck a bus transporting fighters through the Atmeh border post one of several crossings Syrian opposition uses to bring in fighters and supplies. The monitoring group which relies on activists inside Syria said the attack killed 50 fighters. An activist who spoke on condition of anonymity for fear of retribution said some 200 fighters from various factions are based near Atmeh and bring in weapons through the crossing.

The Observatory had earlier reported 26 airstrikes on Sunday across Idlib one of the last remaining opposition bastions. Observatory head Rami Abdurrahman said Russian and government airstrikes on the province have intensified since opposition fighters launched a campaign from Idlib to break a government siege of Aleppos opposition districts on July 31.

The strikes have killed 122 civilians he said. Another 327 civilians including 126 children have been killed in fighting in Aleppo province according to the Observatory. The toll includes 126 people killed by opposition shelling of government-held parts of Aleppo city.

Syrian government forces on Monday repelled a renewed opposition assault southwest of the city of Aleppo forcing opposition forces to retreat from positions they seized a daily earlier the Syrian government and activists said. The development followed intense battles between the two sides.

Tens of thousands of Syrians displaced from Aleppo have found refuge in Idlib home to a pre-war population of 1.5 million. On Sunday evening opposition fighters launched an assault on government-held positions in Aleppo, which was repelled by Syrian forces.

The USA army and Russian airstrikes on July 18 killed 50 Syrian opposition fighters near the Atmeh border crossing with Turkey. The attack occurred when a suicide bomber struck a bus transporting fighters through the crossing, one of several used to bring in fighters and supplies.","{'Name of casualty or group': 'Syrian opposition fighters', 'Gender or age group': 'males (and civilians)', 'Cause of death': 'suicide bombing, airstrikes, shelling', 'Type': 'non-civilian/civilian', 'Actor': 'The USA army', 'Place of death': 'Atmeh border crossing with Turkey, Idlib, Aleppo', 'Date of death': 'Monday, July 18'}","Published August 15 2016 SEND httpsabahdai.lyraA1yc A Syrian man covered with dust carries pieces of metal on a street cluttered with rubble following an airstrike on the rebel-held neighborhood of Sakhur in Aleppo. DAESH said that it killed at least 50 opposition fighters in a suicide bombing on a bus near the Atmeh border crossing with Turkey. The opposition faces the DAESH threat while fighting intensively against the Syrian regime in Idlib and Aleppo DAESH said on Monday they were responsible for a suicide bombing on a bus on Sunday which killed fighters from western-backed Syrian opposition groups near the Atmeh border crossing with Turkey. In a statement on one of its Telegram channels the hard-line militant group said it killed 50 fighters travelling on the bus from the Failaq al-sham and the al-Zinki groups. It said the fighters were travelling to fight against DAESH in northern Aleppo province. The Britain-based Syrian Observatory for Human Rights said a suicide bomber struck a bus transporting fighters through the Atmeh border post one of several crossings Syrian opposition uses to bring in fighters and supplies. The monitoring group which relies on activists inside Syria said the attack killed 50 fighters. An activist who spoke on condition of anonymity for fear of retribution said some 200 fighters from various factions are based near Atmeh and bring in weapons through the crossing. The Observatory had earlier reported 26 airstrikes on Sunday across Idlib one of the last remaining opposition bastions. Observatory head Rami Abdurrahman said Russian and government airstrikes on the province have intensified since opposition fighters launched a campaign from Idlib to break a government siege of Aleppos opposition districts on July 31. The strikes have killed 122 civilians he said. Another 327 civilians including 126 children have been killed in fighting in Aleppo province according to the Observatory. The toll includes 126 people killed by opposition shelling of government-held parts of Aleppo city. The Local Coordination Committees an activist network said Russian jets struck the towns of Jisr al-Shaghour and Binnish while the Observatory reported strikes on the provincial capital Idlib. It was unclear how the activists identified the planes. Aleppo is still home to some 2 million people most of whom live in the government-controlled western districts. Syrian government forces on Monday repelled a renewed opposition assault southwest of the city of Aleppo forcing opposition forces to retreat from positions they seized a daily earlier the Syrian government and activists said. The development followed intense battles between the two sides. Tens of thousands of Syrians displaced from Aleppo have found refuge in Idlib home to a pre-war population of 1.5 million. On Sunday evening opposition fighters opened a new front sending a truck bomb into Aleppos western Zahraa neighborhood according to the Twitter account of the Islamic Front one of the factions fighting for the city. The Observatory reported fighting in the citys western and southern districts. Moscow has been waging an air campaign in support of government forces for nearly a year. Russias military said six long-range Tu-22M3 bombers that took off from Russian territory carried out strikes Sunday on DAESH near the eastern Syrian city of Deir el-Zour. It made no mention of any strikes in Idlib. Russian Foreign Minister Sergei Lavrov said on Monday that Syrian opposition groups had used temporary ceasefires in and around Aleppo to regroup and rearm. Lavrov speaking at a news conference in the Russian city of Yekaterinburg with his German counterpart Frank-Walter Steinmeier said he realized that brief daily ceasefires in place now to allow aid to enter and civilians to leave were not sufficient. But he said it was difficult to make the ceasefires longer for the moment because of the risk of militants using them to regroup and rearm something he said they had done in the past. German government spokesman Steffen Seibert said the hardships faced by people in Aleppo could not be alleviated by announcing three-hour ceasefires. ""Its supposed to sound like a concession but its actually cynicism because everybody knows that this amount of time is nowhere near sufficient to actually build up supplies for the desperate people there"" he told a government news conference. He said the killing in Aleppo had to stop and the city needed to receive food and medical items without hindrance. Seibert said Syrias Bashar Assad and Russia an ally of Assad against opposition in Syrias five-year-old civil war were largely responsible for the situation in the city ""Its primarily their decision whether there will be further deaths or whether the people there get help and hope after months of suffering.""","{'Name of casualty or group': 'Syrian opposition fighters', 'Gender or age group': 'males (and civilians)', 'Cause of death': 'suicide bombing, airstrikes, shelling', 'Type': 'non-civilian/civilian', 'Actor': 'DAESH, Russian and government forces', 'Place of death': 'Atmeh border crossing with Turkey, Idlib, Aleppo', 'Date of death': 'Sunday (August 14)'}",date of death,actor
